date,day,steps,distance,altitude,calories
2018-12-21,Friday,5100,2.79,7,2317
2018-12-22,Saturday,2716,1.48,4,2070
2018-12-23,Sunday,15704,9.32,30,3311
2018-12-24,Monday,17597,9.64,23,3057
2018-12-25,Tuesday,7603,4.21,38,2510
2018-12-26,Wednesday,1714,0.93,1,2107
2018-12-27,Thursday,10354,5.85,38,2533
2018-12-28,Friday,1500,0.82,1,1987
2018-12-29,Saturday,3932,2.15,6,2260
2018-12-30,Sunday,1580,0.86,1,1911
2018-12-31,Monday,1262,0.69,1,1882
2019-01-01,Tuesday,10983,6.02,28,2605
2019-01-02,Wednesday,18454,11.32,96,2997
2019-01-03,Thursday,3438,1.88,2,2070
2019-01-04,Friday,2841,1.55,3,2003
2019-01-05,Saturday,16587,11.1,15,2970
2019-01-06,Sunday,6359,3.48,11,2414
2019-01-07,Monday,5371,3.03,15,2152
2019-01-08,Tuesday,14439,8.46,36,2665
2019-01-09,Wednesday,13003,7.49,33,2610
2019-01-10,Thursday,17872,9.8,36,2711
2019-01-11,Friday,11779,6.46,29,2464
2019-01-12,Saturday,16404,12.1,57,2794
2019-01-13,Sunday,13694,8.05,37,2566
2019-01-14,Monday,10789,6.2,12,2725
2019-01-15,Tuesday,11626,6.37,14,3079
2019-01-16,Wednesday,1166,0.64,1,1784
2019-01-17,Thursday,3879,2.18,11,2031
2019-01-18,Friday,7539,4.13,19,2255
2019-01-19,Saturday,17830,14.16,47,2967
2019-01-20,Sunday,728,0.4,0,1816
